Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.7380952380952381, 
pose9, pose7, 0.8562818394899401, 
pose9, pose6, 1.0975609756097562, 
pose9, pose5, 0.5553639516334729, 
pose9, pose4, 0.8692996135866036, 
pose8, pose7, 0.8542421961772491, 
pose8, pose6, 0.7441860465116279, 
pose8, pose5, 0.8352690695845568, 
pose8, pose4, 0.7104659772022196, 
pose7, pose6, 0.8630747123996123, 
pose7, pose5, 0.5028011423654932, 
pose7, pose4, 0.8897565210026093, 
pose6, pose4, 0.6295290447483882, 
pose5, pose4, 0.5974629907504361, 
