Reference, Structure, RMS, Rotation #
pose9, pose8, 4.473111511278506e-18, 0
pose9, pose7, 4.473111511278506e-18, 0
pose9, pose6, 4.473111511278506e-18, 0
pose9, pose5, 4.473111511278506e-18, 0
pose9, pose4, 4.473111511278506e-18, 0
pose9, pose3, 4.473111511278506e-18, 0
pose9, pose2, 4.473111511278506e-18, 0
pose9, pose1, 4.473111511278506e-18, 0
pose8, pose7, 4.473111511278506e-18, 0
pose8, pose6, 4.473111511278506e-18, 0
pose8, pose5, 4.473111511278506e-18, 0
pose8, pose4, 4.473111511278506e-18, 0
pose8, pose3, 4.473111511278506e-18, 0
pose8, pose2, 4.473111511278506e-18, 0
pose8, pose1, 4.473111511278506e-18, 0
pose7, pose6, 4.473111511278506e-18, 0
pose7, pose5, 4.473111511278506e-18, 0
pose7, pose4, 4.473111511278506e-18, 0
pose7, pose3, 4.473111511278506e-18, 0
pose7, pose2, 4.473111511278506e-18, 0
pose7, pose1, 4.473111511278506e-18, 0
pose6, pose5, 4.473111511278506e-18, 0
pose6, pose4, 4.473111511278506e-18, 0
pose6, pose3, 4.473111511278506e-18, 0
pose6, pose2, 4.473111511278506e-18, 0
pose6, pose1, 4.473111511278506e-18, 0
pose5, pose4, 4.473111511278506e-18, 0
pose5, pose3, 4.473111511278506e-18, 0
pose5, pose2, 4.473111511278506e-18, 0
pose5, pose1, 4.473111511278506e-18, 0
pose4, pose3, 4.473111511278506e-18, 0
pose4, pose2, 4.473111511278506e-18, 0
pose4, pose1, 4.473111511278506e-18, 0
pose3, pose2, 4.473111511278506e-18, 0
pose3, pose1, 4.473111511278506e-18, 0
pose2, pose1, 4.473111511278506e-18, 0
